index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_recall,validation_age_min_fpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
121,a99dae7c15e2d3485a6beefcbac68881,2f4a97a21e2dec3851e254b7309ec457,0.63042,44fc389dff393905eab4913f436678ee,85e2050848c68e535d8612c48b4dca5a,lightgbm.LGBMClassifier,"{'max_depth': 78, 'num_leaves': 322, 'n_estimators': 4143, 'boosting_type': 'goss', 'learning_rate': 0.2501747624238789, 'min_child_samples': 9}",19,Hyperband,4.0,4.0,1.0,100.0,0.65282,0.60987,{'alpha': 'dynamic'},validation,fpr = 5,0.65282,0.60987,dynamic,1.0,FB,0.66967,0.66032,AOF,recall,age_min_fpr_disparity
191,a99dae7c15e2d3485a6beefcbac68881,2f4e94cdcff6180c25a7a7c77e7f3207,0.67555,be507075cca2ec5d7008b3793f4d21eb,57c66d694c61461768a490be9983ec62,lightgbm.LGBMClassifier,"{'max_depth': 4, 'num_leaves': 163, 'n_estimators': 6484, 'boosting_type': 'goss', 'learning_rate': 0.24632057973660118, 'min_child_samples': 56}",19,Hyperband,2.0,2.0,1.0,100.0,0.56971,0.78139,{'alpha': 0.5},validation,fpr = 5,0.56971,0.78139,0.5,1.0,FB (alpha=0.5),0.60925,0.88806,AOF,recall,age_min_fpr_disparity
10,a99dae7c15e2d3485a6beefcbac68881,30914154aa51f579ad13311079570f87,0.58246,e88a72ff8d0adaf699a5de6a20687531,08ce740ba918bd2dad5afa5c073efc4a,lightgbm.LGBMClassifier,"{'max_depth': 70, 'num_leaves': 157, 'n_estimators': 782, 'boosting_type': 'goss', 'learning_rate': 0.012686556107201217, 'min_child_samples': 7}",9,RandomSearch,,,,100.0,0.67828,0.48663,{'alpha': 0.5},validation,fpr = 5,0.67828,0.48663,0.5,,RS (alpha=0.5),0.7108,0.52078,AOF,recall,age_min_fpr_disparity
200,a99dae7c15e2d3485a6beefcbac68881,333c78877f70c605280274a622e27c6b,0.60776,66ed3c5b119cbf89fe43edc857eb30cf,f86908e00fbf99e7f07002bf0d797530,lightgbm.LGBMClassifier,"{'max_depth': 7, 'num_leaves': 12, 'n_estimators': 3819, 'boosting_type': 'gbdt', 'learning_rate': 0.1026598781255912, 'min_child_samples': 5}",4,Hyperband,1.0,1.0,2.0,100.0,0.62601,0.58951,{'alpha': 0.5},validation,fpr = 5,0.62601,0.58951,0.5,1.0,FB (alpha=0.5),0.6401,0.68421,AOF,recall,age_min_fpr_disparity
169,a99dae7c15e2d3485a6beefcbac68881,36047b69a1caf9dd5da94ae00d86d22c,0.6504,285a39647c2e27545a83658498db3e56,2a21bbba0d98a7390ab23e0d802a9a9d,lightgbm.LGBMClassifier,"{'max_depth': 35, 'num_leaves': 7, 'n_estimators': 1534, 'boosting_type': 'goss', 'learning_rate': 0.4533619006919004, 'min_child_samples': 28}",19,Hyperband,3.0,2.0,3.0,33.333,0.56971,0.77203,{'alpha': 'dynamic'},validation,fpr = 5,0.56971,0.77203,dynamic,0.3333,FB,0.58869,0.92235,AOF,recall,age_min_fpr_disparity
20,a99dae7c15e2d3485a6beefcbac68881,400480286934be62a819daa2807a1d74,0.63346,1516ab18b9e6e3ca6c357bc5b0c9901f,12772df449480212de11286f1bf79156,lightgbm.LGBMClassifier,"{'max_depth': 24, 'num_leaves': 9, 'n_estimators': 1095, 'boosting_type': 'dart', 'learning_rate': 0.3563967803679837, 'min_child_samples': 167}",4,RandomSearch,,,,100.0,0.6126,0.65432,{'alpha': 0.5},validation,fpr = 5,0.6126,0.65432,0.5,,RS (alpha=0.5),0.64781,0.76893,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,4616709824a30425b3156b19440fccb8,0.64387,dbe77ca573f9e6adaa168fc15f1f0bc3,5febac2bfe3b1dcf6d57ca03ca645790,lightgbm.LGBMClassifier,"{'max_depth': 50, 'num_leaves': 115, 'n_estimators': 2927, 'boosting_type': 'dart', 'learning_rate': 0.5123702912513137, 'min_child_samples': 12}",9,Hyperband,3.0,3.0,1.0,100.0,0.64879,0.63904,{'alpha': 'dynamic'},validation,fpr = 5,0.64879,0.63904,dynamic,1.0,FB,0.66324,0.7511,AOF,recall,age_min_fpr_disparity
8,a99dae7c15e2d3485a6beefcbac68881,4eb8995dd22bde1fa2e8fbe6353ca5d0,0.67694,1a8851e4759961b3c64b48e951c2743d,eab5fe5e8215bac6d272aa6c05b8d886,lightgbm.LGBMClassifier,"{'max_depth': 85, 'num_leaves': 121, 'n_estimators': 1051, 'boosting_type': 'goss', 'learning_rate': 0.011471139512205528, 'min_child_samples': 17}",9,RandomSearch,,,,100.0,0.67694,0.51341,{'alpha': 1},validation,fpr = 5,0.67694,0.51341,1,,RS,0.69923,0.56394,AOF,recall,age_min_fpr_disparity
121,a99dae7c15e2d3485a6beefcbac68881,50c74902aa6e908d62efb662cda09328,0.61203,7487f742a4fd9af21cbe64e16ef44642,ebd7df4eaff59df73d6987f0cc0bfadc,lightgbm.LGBMClassifier,"{'max_depth': 24, 'num_leaves': 272, 'n_estimators': 4092, 'boosting_type': 'dart', 'learning_rate': 0.2921389725225255, 'min_child_samples': 8}",4,Hyperband,4.0,4.0,1.0,100.0,0.64477,0.5831,{'alpha': 'dynamic'},validation,fpr = 5,0.64477,0.5831,dynamic,1.0,FB,0.67224,0.636,AOF,recall,age_min_fpr_disparity
170,a99dae7c15e2d3485a6beefcbac68881,513b92f7a0fb033164c248ad3978d62e,0.69169,f0bf91b52bcb65d23ca5f03e656a8e02,673c4ab5ba0b2a1d6add2539858b81c8,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 21, 'max_features': 'sqrt', 'n_estimators': 297, 'min_samples_leaf': 1, 'min_samples_split': 29}",19,Hyperband,3.0,3.0,1.0,100.0,0.69169,0.30777,{'alpha': 1},validation,fpr = 5,0.69169,0.30777,1,1.0,HB,0.69409,0.33569,AOF,recall,age_min_fpr_disparity
