index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_sex_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
29,2dd35f877805972a5bef858efd2bfb0d,7239608d46b74bf66815a35a82ac1005,0.90914,8bb498dfa52ee77d1713edcfd4e1afc9,aa1298506f79b85ef9fc43a2432a5f74,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0005772108666418019, 'model__dropout': 0.2654357972358839, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [500, 200], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,0.0,81.0,1.235,0.8391,0.97918,{'alpha': 0.5},validation,tpr = 50,0.8391,0.97918,0.5,0.0123,FB (alpha=0.5),0.8405,0.99269,Adult,precision,sex_min_tpr_disparity
120,2dd35f877805972a5bef858efd2bfb0d,72b04ebc4a802be9e7a1ab6da0d986ed,0.99357,709495cd081d9b42c59bcce5dcc168bc,c1ceec208e092544273868d4640ed1b0,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 241, 'min_samples_leaf': 21, 'min_samples_split': 61}",,Hyperband,4.0,3.0,3.0,33.333,0.99357,0.51336,{'alpha': 1},validation,tpr = 50,0.99357,0.51336,1,0.3333,HB,0.98789,0.51356,Adult,precision,sex_min_tpr_disparity
23,2dd35f877805972a5bef858efd2bfb0d,74dea312692ba82e7876bddff002b7bb,0.87413,4f07de9f07360b5029d4e95f3c26d300,7f647a6311500f13171be8d9f172eb28,lightgbm.LGBMClassifier,"{'max_depth': 30, 'num_leaves': 45, 'n_estimators': 2888, 'boosting_type': 'goss', 'learning_rate': 0.22156475946334245, 'min_child_samples': 67}",,RandomSearch,,,,100.0,0.86494,0.88331,{'alpha': 0.5},validation,tpr = 50,0.86494,0.88331,0.5,,RS (alpha=0.5),0.87772,0.89984,Adult,precision,sex_min_tpr_disparity
85,2dd35f877805972a5bef858efd2bfb0d,8833cb708c4fd3a8bb9ddd49cfd926bd,0.96262,3f668339a35a1c47ead369344e28289e,8e91020763b5b14c5fbd26f4fff1c123,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0010563389934600729, 'model__dropout': 0.35525987681203025, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.93992,0.98531,{'alpha': 0.5},validation,tpr = 50,0.93992,0.98531,0.5,0.037,FB (alpha=0.5),0.94027,0.93352,Adult,precision,sex_min_tpr_disparity
6,2dd35f877805972a5bef858efd2bfb0d,89396524cca9bb597b9bb7c71e20415c,0.83934,a451b17dc7d078789eab93f9dfd8778d,d46cec66696ad705581e94e35fbf292e,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 28, 'min_samples_leaf': 4, 'min_samples_split': 11}",,RandomSearch,,,,100.0,0.94028,0.7384,{'alpha': 0.5},validation,tpr = 50,0.94028,0.7384,0.5,,RS (alpha=0.5),0.94595,0.74598,Adult,precision,sex_min_tpr_disparity
24,2dd35f877805972a5bef858efd2bfb0d,8947f0fb9bce53d6677a1c0117563b0f,0.88978,a5c20c352f8776d0908483e5c580e4f2,4301a2ecdcb4effac4d94f3570703e91,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 17, 'min_samples_leaf': 9, 'min_samples_split': 8}",,RandomSearch,,,,100.0,0.95963,0.81992,{'alpha': 0.5},validation,tpr = 50,0.95963,0.81992,0.5,,RS (alpha=0.5),0.96935,0.81095,Adult,precision,sex_min_tpr_disparity
20,2dd35f877805972a5bef858efd2bfb0d,9076c4262d4ee3f76efe41c2521f85a4,0.99397,2b0e0e1a814e982de057d0786be8f270,a8b647678ec3c3f02409e25b875c3a5b,lightgbm.LGBMClassifier,"{'max_depth': 20, 'num_leaves': 44, 'n_estimators': 1307, 'boosting_type': 'goss', 'learning_rate': 0.015194698437002585, 'min_child_samples': 7}",,RandomSearch,,,,100.0,0.99397,0.57718,{'alpha': 1},validation,tpr = 50,0.99397,0.57718,1,,RS,0.99198,0.58933,Adult,precision,sex_min_tpr_disparity
168,2dd35f877805972a5bef858efd2bfb0d,9404b8bd5ca3a638ca6339f0a265b7e8,0.99477,b81df11d65a7cb943ba3a92ed85ca3e3,c00369bd9e496c05e645fb193e028356,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 31, 'max_features': 'sqrt', 'n_estimators': 127, 'min_samples_leaf': 2, 'min_samples_split': 13}",,Hyperband,3.0,2.0,3.0,33.333,0.99477,0.54618,{'alpha': 1},validation,tpr = 50,0.99477,0.54618,1,0.3333,HB,0.98879,0.5528,Adult,precision,sex_min_tpr_disparity
121,2dd35f877805972a5bef858efd2bfb0d,941dd941d8935adeddc5924358a09897,0.99397,9afcf5ef1bc778bf2eb1e7f9b7a5df97,b10db13304bb5369928ceebb352d55e4,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 697, 'min_samples_leaf': 4, 'min_samples_split': 17}",,Hyperband,4.0,4.0,1.0,100.0,0.99397,0.54529,{'alpha': 1},validation,tpr = 50,0.99397,0.54529,1,1.0,HB,0.99076,0.54729,Adult,precision,sex_min_tpr_disparity
11,2dd35f877805972a5bef858efd2bfb0d,9471a20d5bfd95f29fad5ae094b6d1e1,0.99357,a1a49cc3b9c29f00ab2ae159375bdb0b,cd80b5be489359fe696f0a6f138feac6,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 31, 'max_features': 'sqrt', 'n_estimators': 22, 'min_samples_leaf': 11, 'min_samples_split': 17}",,RandomSearch,,,,100.0,0.99357,0.51927,{'alpha': 1},validation,tpr = 50,0.99357,0.51927,1,,RS,0.99023,0.53049,Adult,precision,sex_min_tpr_disparity
